Id,SalePrice
1461,124109
1462,159182
1463,183334
1464,198143
1465,192291
1466,169913
1467,176854
1468,161834
1469,195467
1470,119888
1471,199106
1472,97572
1473,95971
1474,150277
1475,111680
1476,372755
1477,256896
1478,298507
1479,284324
1480,486184
1481,311920
1482,209347
1483,178494
1484,163418
1485,190299
1486,196103
1487,329119
1488,237244
1489,205571
1490,238937
1491,192083
1492,99405
1493,188213
1494,293582
1495,287526
1496,234907
1497,183170
1498,160637
1499,160838
1500,157297
1501,179501
1502,142995
1503,305656
1504,235537
1505,222616
1506,188706
1507,250559
1508,201611
1509,165414
1510,146150
1511,144555
1512,169276
1513,154624
1514,163144
1515,203815
1516,153064
1517,173704
1518,128375
1519,218316
1520,132413
1521,134389
1522,176022
1523,114849
1524,129501
1525,121797
1526,119516
1527,108190
1528,138305
1529,144771
1530,176593
1531,111349
1532,93896
1533,147109
1534,126285
1535,150233
1536,111523
1537,61881
1538,153840
1539,203548
1540,101724
1541,143595
1542,138956
1543,191149
1544,85458
1545,113455
1546,132713
1547,126204
1548,134445
1549,112005
1550,132662
1551,110989
1552,131715
1553,143276
1554,117673
1555,164148
1556,90182
1557,112174
1558,99255
1559,63249
1560,134011
1561,128537
1562,130010
1563,121787
1564,158427
1565,151799
1566,244365
1567,78667
1568,220578
1569,124466
1570,145144
1571,131323
1572,144824
1573,276369
1574,118839
1575,231756
1576,238717
1577,202368
1578,143973
1579,143787
1580,194668
1581,155044
1582,128090
1583,303670
1584,217196
1585,139421
1586,63584
1587,104247
1588,153295
1589,103132
1590,137527
1591,93091
1592,117452
1593,126186
1594,131500
1595,106995
1596,231197
1597,193113
1598,222803
1599,172846
1600,161780
1601,57595
1602,118269
1603,71503
1604,269664
1605,247724
1606,172771
1607,183900
1608,221880
1609,193179
1610,157515
1611,148523
1612,175424
1613,167659
1614,124267
1615,88332
1616,74421
1617,92605
1618,125851
1619,139798
1620,158708
1621,143386
1622,138708
1623,274723
1624,215058
1625,119247
1626,169657
1627,190652
1628,282999
1629,186711
1630,377220
1631,217423
1632,243575
1633,175410
1634,188982
1635,176815
1636,154811
1637,190592
1638,187224
1639,189564
1640,262758
1641,185361
1642,244459
1643,214365
1644,231447
1645,187837
1646,161070
1647,162008
1648,129931
1649,140093
1650,115281
1651,122662
