Id,SalePrice
1461,123200
1462,153200
1463,175600
1464,182e3
1465,192500
1466,182700
1467,166e3
1468,175900
1469,180600
1470,120700
1471,194700
1472,93500
1473,96100
1474,153900
1475,143900
1476,390900
1477,254500
1478,305200
1479,250200
1480,470600
1481,313800
1482,208700
1483,174400
1484,171500
1485,172e3
1486,199200
1487,325400
1488,239800
1489,209800
1490,192100
1491,191300
1492,101400
1493,170900
1494,302300
1495,290400
1496,227300
1497,190400
1498,153800
1499,154400
1500,151600
1501,173300
1502,159900
1503,275300
1504,227400
1505,222200
1506,183e3
1507,215200
1508,197500
1509,165300
1510,151e3
1511,151300
1512,165300
1513,151e3
1514,155700
1515,174500
1516,154400
1517,150800
1518,13e4
1519,221800
1520,138800
1521,145400
1522,160600
1523,118600
1524,123700
1525,124200
1526,129900
1527,99100
1528,128800
1529,143700
1530,167600
1531,126200
1532,107600
1533,141600
1534,113600
1535,151200
1536,114500
1537,74e3
1538,173700
1539,212100
1540,113300
1541,145900
1542,140500
1543,217100
1544,80700
1545,102800
1546,123200
1547,138300
1548,132600
1549,107100
1550,141800
1551,114600
1552,135100
1553,138e3
1554,113100
1555,168300
1556,94900
1557,124800
1558,89200
1559,113500
1560,148600
1561,142200
1562,127100
1563,122600
1564,159700
1565,155300
1566,214100
1567,75500
1568,217700
1569,138800
1570,126300
1571,113400
1572,142800
1573,233600
1574,105900
1575,202500
1576,212200
1577,206600
1578,150400
1579,14e4
1580,193600
1581,140600
1582,127500
1583,329e3
1584,238900
1585,140500
1586,71200
1587,105800
1588,148700
1589,100100
1590,134300
1591,107100
1592,118800
1593,113700
1594,132700
1595,123700
1596,236500
1597,161500
1598,184e3
1599,183700
1600,185900
1601,67600
1602,108100
1603,87300
1604,281100
1605,245400
1606,169900
1607,169500
1608,212300
1609,201300
1610,158700
1611,146600
1612,153e3
1613,162300
1614,123100
1615,85e3
1616,81400
1617,86100
1618,126800
1619,130700
1620,149800
1621,136500
1622,150800
1623,291400
1624,208300
1625,128e3
1626,169900
1627,185100
1628,276600
1629,174400
1630,350100
1631,228700
1632,261e3
1633,169500
1634,181400
1635,176600
1636,157900
1637,178200
1638,215900
1639,183e3
1640,255500
1641,183300
1642,223400
1643,227e3
1644,223900
1645,181e3
1646,153800
1647,163400
1648,142300
1649,142e3
1650,122700
1651,121500
1652,93800
1653,97800
1654,153800
1655,152900
1656,150500
1657,152700
1658,151800
1659,143200
1660,146600
1661,431600
1662,380900
1663,37e4
1664,453400
1665,310400
1666,328e3
1667,355100
1668,326500
1669,294200
1670,336800
1671,265300
1672,474200
1673,296700
1674,254e3
1675,187100
1676,188700
1677,214500
1678,468700
1679,380900
1680,325e3
1681,248100
1682,303100
1683,188300
1684,171500
1685,173500
1686,170500
1687,166900
1688,186600
1689,187700
1690,184500
1691,175e3
1692,258300
1693,169400
1694,180600
1695,169800
1696,264900
1697,171300
1698,334300
1699,318e3
1700,241e3
1701,265100
1702,251100
1703,250800
1704,292800
1705,227100
1706,434700
1707,222e3
1708,219e3
1709,271200
1710,219700
1711,251400
1712,222900
1713,251400
1714,224900
1715,203e3
1716,176100
1717,162600
1718,135200
1719,203400
1720,249100
1721,159700
1722,129500
1723,155500
1724,211300
1725,229900
1726,186300
1727,169500
1728,187700
1729,164600
1730,162100
1731,123700
1732,128500
1733,124800
1734,130900
1735,131700
1736,116700
1737,342100
1738,217100
1739,270400
1740,182700
1741,175200
1742,172800
1743,174300
1744,303300
1745,237300
1746,258800
1747,217e3
1748,207800
1749,159800
1750,148800
1751,230500
1752,123100
1753,140600
1754,213500
1755,163100
1756,120400
1757,118600
1758,143600
1759,165400
1760,160600
1761,154800
1762,165800
1763,166300
1764,121400
1765,167500
1766,164900
1767,192700
1768,140100
1769,168100
1770,139600
1771,136100
1772,138600
1773,138200
1774,131900
1775,132900
1776,118300
1777,114800
1778,131500
1779,115200
1780,175200
1781,13e4
1782,95700
1783,126900
1784,93100
1785,109800
1786,123700
1787,164600
1788,59400
1789,91300
1790,78300
1791,168800
1792,157100
1793,133300
1794,139500
1795,139100
1796,122700
1797,119100
1798,126100
1799,113900
1800,126e3
1801,132e3
1802,124900
1803,154100
1804,140600
1805,134600
1806,114800
1807,141500
1808,117400
1809,125200
1810,141800
1811,114100
1812,116100
1813,118700
1814,97700
1815,59700
1816,100600
1817,114700
1818,130800
1819,118900
1820,75e3
1821,108400
1822,142100
1823,58800
1824,136100
1825,138e3
1826,103200
1827,109500
1828,138200
1829,111700
1830,136500
1831,166800
1832,112200
1833,141800
1834,132500
1835,169900
1836,132900
1837,100900
1838,131700
1839,83600
1840,157900
1841,146100
1842,86700
1843,140300
1844,128800
1845,140600
1846,149200
1847,154400
1848,61600
1849,116400
1850,129100
1851,145700
1852,126400
1853,133400
1854,168100
1855,15e4
1856,220600
1857,158600
1858,139500
1859,121100
1860,153900
1861,121e3
1862,275600
1863,271800
1864,271800
1865,314500
1866,321300
1867,236700
1868,305900
1869,193200
1870,229500
1871,249700
1872,170500
1873,225200
1874,139900
1875,202100
1876,196600
1877,202400
1878,211e3
1879,133e3
1880,136100
1881,235300
1882,257800
1883,197100
1884,216500
1885,252100
1886,304800
1887,198500
1888,275900
1889,164100
1890,133500
1891,142800
1892,112900
1893,132e3
1894,126e3
1895,145800
1896,123700
1897,116700
1898,109e3
1899,132200
1900,149800
1901,162100
1902,133900
1903,228800
1904,133600
1905,176700
1906,149200
1907,197300
1908,107800
1909,130800
1910,122200
1911,195600
1912,262900
1913,137700
1914,60100
1915,309e3
1916,69400
1917,256200
1918,137300
1919,158200
1920,150300
1921,388100
1922,313900
1923,201300
1924,226100
1925,224200
1926,374600
1927,138500
1928,158400
1929,125100
1930,124600
1931,139400
1932,136800
1933,170300
1934,178600
1935,176e3
1936,186e3
1937,180600
1938,164600
1939,258500
1940,196e3
1941,177200
1942,189700
1943,192300
1944,313900
1945,362200
1946,153800
1947,314600
1948,162600
1949,237900
1950,181e3
1951,262200
1952,232e3
1953,164100
1954,205700
1955,131800
1956,273e3
1957,165900
1958,312400
1959,139400
1960,116900
1961,12e4
1962,95700
1963,102200
1964,115e3
1965,150800
1966,150800
1967,288100
1968,384700
1969,372100
1970,433100
1971,423300
1972,359100
1973,257100
1974,315600
1975,454200
1976,271300
1977,355500
1978,356500
1979,327300
1980,194e3
1981,334300
1982,227800
1983,215100
1984,167700
1985,205300
1986,213e3
1987,179700
1988,176900
1989,188500
1990,219900
1991,220800
1992,214400
1993,174100
1994,246600
1995,183800
1996,263500
1997,324500
1998,342300
1999,255500
2000,306200
2001,262900
2002,235100
2003,247700
2004,251100
2005,224500
2006,221600
2007,247200
2008,207600
2009,189200
2010,192e3
2011,142600
2012,176600
2013,18e4
2014,190300
2015,195700
2016,191800
2017,205500
2018,124200
2019,132100
2020,120400
2021,116100
2022,179200
2023,148400
2024,214300
2025,363900
2026,183500
2027,150500
2028,152100
2029,168700
2030,275600
2031,231400
2032,250500
2033,264800
2034,163600
2035,209400
2036,184500
2037,190900
2038,303900
2039,204100
2040,376800
2041,263700
2042,209400
2043,169700
2044,172200
2045,204500
2046,135900
2047,151300
2048,133200
2049,132700
2050,170500
2051,104e3
2052,137200
2053,144600
2054,82200
2055,157300
2056,131900
2057,128700
2058,211900
2059,127600
2060,161700
2061,171500
2062,139e3
2063,115400
2064,138900
2065,121100
2066,167e3
2067,125700
2068,135500
2069,88e3
2070,107600
2071,88500
2072,131600
2073,135900
2074,181300
2075,145800
2076,121900
2077,147100
2078,132600
2079,132200
2080,117400
2081,125700
2082,133700
2083,142100
2084,110700
2085,133900
2086,115600
2087,120400
2088,110100
2089,90400
2090,13e4
2091,122100
2092,131200
2093,133900
2094,141600
2095,147500
2096,89200
2097,96200
2098,144300
2099,57900
2100,112700
2101,119900
2102,146200
2103,103800
2104,129300
2105,127600
2106,76600
2107,235100
2108,120700
2109,118700
2110,121800
2111,158600
2112,138900
2113,122200
2114,112700
2115,146200
2116,114900
2117,143400
2118,122e3
2119,108800
2120,110900
2121,95600
2122,99900
2123,92900
2124,190100
2125,126800
2126,157200
2127,143800
2128,125600
2129,94900
2130,139300
2131,128900
2132,115200
2133,113300
2134,119900
2135,98400
2136,85100
2137,114700
2138,138300
2139,151200
2140,137600
2141,130500
2142,139600
2143,143400
2144,112500
2145,135900
2146,147900
2147,155100
2148,127900
2149,132600
2150,223800
2151,139200
2152,162300
2153,156400
2154,110100
2155,133500
2156,218300
2157,239400
2158,235100
2159,218e3
2160,167900
2161,251e3
2162,416700
2163,328600
2164,249400
2165,175500
2166,144800
