Id,SalePrice
1461,120712
1462,159637
1463,175934
1464,194606
1465,195377
1466,168870
1467,176426
1468,161139
1469,195829
1470,115781
1471,198014
1472,102732
1473,100764
1474,152016
1475,117911
1476,345851
1477,241792
1478,291422
1479,287230
1480,450691
1481,310722
1482,211140
1483,180651
1484,165313
1485,193334
1486,200658
1487,314472
1488,235409
1489,186445
1490,220743
1491,199092
1492,100374
1493,181185
1494,281516
1495,286355
1496,224256
1497,182067
1498,162723
1499,160453
1500,152530
1501,167046
1502,149613
1503,271634
1504,232700
1505,216705
1506,187447
1507,242651
1508,201347
1509,162575
1510,141041
1511,145774
1512,172263
1513,155571
1514,155362
1515,198491
1516,158628
1517,173956
1518,139377
1519,214102
1520,127146
1521,131763
1522,177200
1523,113532
1524,122257
1525,120435
1526,117974
1527,110726
1528,144003
1529,141607
1530,179770
1531,110399
1532,99758
1533,143578
1534,126139
1535,156016
1536,112446
1537,72222
1538,155914
1539,200293
1540,103989
1541,143062
1542,138426
1543,186049
1544,86059
1545,115394
1546,134432
1547,123798
1548,133824
1549,117202
1550,131127
1551,114941
1552,131568
1553,148774
1554,121372
1555,161754
1556,89454
1557,112705
1558,104869
1559,72378
1560,138930
1561,127184
1562,130163
1563,116990
1564,164895
1565,150168
1566,236136
1567,83209
1568,219548
1569,124516
1570,144255
1571,125956
1572,141816
1573,239732
1574,128523
1575,223574
1576,245686
1577,181443
1578,147734
1579,143680
1580,195664
1581,151116
1582,124635
1583,294120
1584,220726
1585,139095
1586,68993
1587,104511
1588,144306
1589,101004
1590,138740
1591,94732
1592,116106
1593,124511
1594,124688
1595,117991
1596,220676
1597,186182
1598,220172
1599,174814
1600,169179
1601,67430
1602,120331
1603,73688
1604,250075
1605,252999
1606,173069
1607,185504
1608,212216
1609,184599
1610,147624
1611,145858
1612,177701
1613,166606
1614,120206
1615,95360
1616,86009
1617,98168
1618,123807
1619,138099
1620,160670
1621,145283
1622,141520
1623,263423
1624,214722
1625,121363
1626,172240
1627,187029
1628,283775
1629,181421
1630,338463
1631,213038
1632,239760
1633,174305
1634,182124
1635,174725
1636,157535
1637,189447
1638,193589
1639,187693
1640,252118
1641,185523
1642,234642
1643,216175
1644,229152
1645,191150
1646,159376
1647,164434
1648,128614
1649,135930
1650,111850
1651,121244
1652,103936
1653,105861
1654,147376
1655,138639
1656,145234
1657,148382
1658,148516
1659,120431
1660,157751
1661,405328
1662,381181
1663,365952
1664,483300
1665,304589
1666,320992
1667,361628
1668,330837
1669,300945
1670,339958
1671,249423
1672,405479
1673,272807
1674,238380
1675,194742
1676,191945
1677,213887
1678,449903
1679,359197
1680,322271
1681,252596
1682,300278
1683,184106
1684,184766
1685,178648
1686,174727
1687,181101
1688,195543
1689,199306
1690,199780
1691,187238
1692,269943
1693,177649
1694,177655
1695,168706
1696,264505
1697,171473
1698,329158
1699,293562
1700,241238
1701,266950
1702,240527
1703,237052
1704,272810
1705,234920
1706,275013
1707,205287
1708,193236
1709,261234
1710,215074
1711,263352
1712,243814
1713,260887
1714,214669
1715,201915
1716,184748
1717,176724
1718,141037
1719,208687
1720,244312
1721,173366
1722,132461
1723,158630
1724,207325
1725,232553
1726,187208
1727,162352
1728,183857
1729,163685
1730,162316
