Id,SalePrice
1461,124614
1462,159192
1463,182254
1464,198079
1465,190400
1466,172116
1467,176490
1468,162406
1469,190899
1470,121983
1471,194671
1472,97981
1473,94679
1474,149240
1475,113986
1476,367814
1477,250622
1478,283142
1479,270815
1480,508988
1481,321142
1482,205954
1483,173938
1484,160689
1485,182263
1486,192318
1487,339559
1488,236335
1489,200484
1490,244355
1491,189582
1492,92182
1493,179254
1494,285019
1495,283386
1496,239146
1497,181610
1498,168207
1499,161849
1500,155476
1501,178104
1502,141483
1503,304276
1504,242599
1505,228812
1506,191091
1507,261180
1508,196029
1509,160023
1510,144684
1511,151668
1512,173663
1513,146886
1514,159525
1515,196021
1516,143230
1517,172947
1518,126709
1519,214004
1520,130268
1521,134259
1522,174035
1523,114801
1524,125599
1525,122099
1526,116225
1527,107010
1528,138664
1529,149004
1530,183407
1531,106691
1532,92322
1533,143399
1534,124148
1535,144679
1536,102965
1537,59963
1538,150118
1539,192110
1540,86720
1541,143062
1542,147609
1543,195232
1544,84787
1545,117015
1546,132558
1547,131741
1548,137149
1549,117998
1550,134886
1551,104037
1552,139702
1553,146795
1554,118587
1555,167259
1556,89316
1557,115685
1558,99742
1559,63059
1560,133112
1561,124764
1562,130433
1563,124616
1564,153827
1565,150596
1566,247880
1567,79416
1568,232892
1569,126371
1570,139205
1571,119195
1572,143356
1573,253364
1574,117373
1575,229624
1576,244670
1577,188353
1578,143702
1579,146646
1580,192435
1581,155171
1582,126536
1583,306624
1584,218219
1585,138376
1586,71725
1587,101008
1588,151675
1589,97177
1590,132815
1591,93325
1592,111927
1593,119959
1594,134156
1595,107424
1596,237493
1597,187133
1598,223563
1599,165466
1600,155656
1601,64858
1602,121961
1603,66700
1604,265369
1605,241636
1606,167747
1607,181984
1608,216520
1609,188320
1610,153110
1611,138800
1612,170328
1613,165698
1614,120876
1615,88319
1616,76266
1617,89201
1618,128279
1619,135135
1620,150253
1621,137684
1622,131027
1623,257118
1624,211764
1625,116448
1626,168047
1627,190076
1628,282352
1629,177317
1630,374736
1631,225581
1632,250169
1633,167822
1634,182267
1635,175504
1636,154055
1637,196327
1638,182636
1639,184042
1640,254074
1641,180916
1642,241649
1643,217392
1644,238242
1645,202752
1646,158141
1647,159684
1648,129443
1649,138103
1650,112463
1651,121255
1652,95345
1653,98659
1654,140630
1655,133466
1656,142578
1657,145490
1658,143258
1659,122490
1660,153810
1661,445657
1662,410961
1663,386262
1664,591598
1665,312150
1666,325769
1667,364209
1668,337886
1669,296757
1670,344275
1671,256076
1672,438990
1673,280683
1674,240340
1675,194315
1676,194235
1677,224159
1678,536524
1679,385966
1680,343788
1681,248730
1682,300291
1683,178622
1684,172694
1685,171519
1686,165802
1687,167784
1688,185740
1689,192241
1690,191457
1691,182206
1692,261045
1693,166022
1694,181385
1695,162902
1696,271556
1697,169163
1698,344276
1699,298055
1700,248093
1701,272204
1702,247922
1703,243422
1704,279188
1705,233138
1706,499582
1707,220949
1708,210366
1709,268993
1710,220551
1711,275015
1712,255045
1713,284951
1714,230813
1715,208368
1716,181600
1717,172777
1718,136715
1719,204893
1720,235802
1721,154154
1722,120245
1723,147731
1724,207029
1725,236001
1726,188893
1727,152410
1728,160434
1729,163518
1730,155795
1731,120698
1732,129638
1733,116403
1734,121119
1735,118869
1736,108032
1737,319192
1738,245534
1739,261337
1740,231903
1741,194427
1742,174383
1743,176898
