Id,SalePrice
1461,123883
1462,161062
1463,182621
1464,197701
1465,191720
1466,169220
1467,176458
1468,162145
1469,192040
1470,121441
1471,199187
1472,97108
1473,94288
1474,150743
1475,112114
1476,381891
1477,256054
1478,301036
1479,285210
1480,481245
1481,312974
1482,212700
1483,178081
1484,165422
1485,189616
1486,195194
1487,335237
1488,237279
1489,205482
1490,240064
1491,192162
1492,98e3
1493,189692
1494,296866
1495,290870
1496,241455
1497,183801
1498,160927
1499,159658
1500,158138
1501,183019
1502,142854
1503,310949
1504,235014
1505,221382
1506,189004
1507,247568
1508,200848
1509,166163
1510,145852
1511,146102
1512,170611
1513,154290
1514,166494
1515,204518
1516,155321
1517,173751
1518,129983
1519,221900
1520,132851
1521,135571
1522,176041
1523,116095
1524,131241
1525,122714
1526,120154
1527,107758
1528,138371
1529,146492
1530,177588
1531,113539
1532,95589
1533,148353
1534,125059
1535,148019
1536,109793
1537,59637
1538,151161
1539,202814
1540,99065
1541,143241
1542,136750
1543,185758
1544,86006
1545,113285
1546,134104
1547,127587
1548,134390
1549,112724
1550,130855
1551,111698
1552,134336
1553,145036
1554,117684
1555,164250
1556,88588
1557,112526
1558,99379
1559,62929
1560,138060
1561,126015
1562,130433
1563,121546
1564,158898
1565,151187
1566,245047
1567,78017
1568,221142
1569,122705
1570,143388
1571,130312
1572,143287
1573,278799
1574,117337
1575,232795
1576,240919
1577,206752
1578,147773
1579,144855
1580,194941
1581,153355
1582,128650
1583,304009
1584,214872
1585,138955
1586,62143
1587,103032
1588,152130
1589,101742
1590,136549
1591,92544
1592,117345
1593,127551
1594,151710
1595,105560
1596,226982
1597,191070
1598,220393
1599,170904
1600,160390
1601,57429
1602,118796
1603,73558
1604,264659
1605,244700
1606,172075
1607,186400
1608,224381
1609,193569
1610,158347
1611,148812
1612,175618
1613,165913
1614,123211
1615,88774
1616,73841
1617,92063
1618,125362
1619,140212
1620,156349
1621,141047
1622,138389
1623,268246
1624,214658
1625,119658
1626,169655
1627,190878
1628,282887
1629,185666
1630,377409
1631,217220
1632,239444
1633,174486
1634,187669
1635,177016
1636,155340
1637,188801
1638,184851
1639,190313
1640,261214
1641,183445
1642,244184
1643,213068
1644,229978
1645,187779
1646,160776
1647,161837
1648,129380
1649,138408
1650,114296
1651,122796
